# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 0.50 degrees
# Total Points: 161 x 161 = 25921
# Timestamp: 20260204_125453
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-39.50,-28.50,0.00,-0.00,39.76,2132.57,0.00,301.19,1480.93,2078.96,2158.00
-39.50,-28.00,0.00,0.00,56.46,2116.90,-0.00,295.92,1492.80,2067.78,2158.00
-39.50,-27.50,0.00,-0.00,73.00,2101.63,-0.00,290.67,1504.65,2056.79,2158.00
-39.50,-27.00,0.00,-0.00,89.40,2086.74,-0.00,285.43,1516.46,2045.98,2158.00
-39.50,-26.50,0.00,0.00,105.65,2072.25,-0.00,280.20,1528.24,2035.37,2158.00
-39.50,-26.00,0.00,-0.00,121.76,2058.12,-0.00,274.99,1540.00,2024.93,2158.00
-39.50,-25.50,0.00,0.00,137.73,2044.37,0.00,269.79,1551.74,2014.69,2158.00
-39.50,-25.00,0.00,-0.00,153.58,2030.97,-0.00,264.59,1563.45,2004.62,2158.00
-39.50,-24.50,0.00,0.00,169.29,2017.93,0.00,259.41,1575.13,1994.74,2158.00
-39.50,-24.00,0.00,0.00,184.88,2005.24,0.00,254.23,1586.80,1985.04,2158.00
-39.50,-23.50,0.00,0.00,200.35,1992.90,0.00,249.06,1598.46,1975.51,2158.00
-39.50,-23.00,0.00,0.00,215.70,1980.89,-0.00,243.90,1610.09,1966.17,2158.00
-39.50,-22.50,0.00,0.00,230.94,1969.21,0.00,238.75,1621.72,1957.00,2158.00
-39.50,-22.00,0.00,0.00,246.07,1957.85,-0.00,233.60,1633.33,1948.01,2158.00
-39.50,-21.50,0.00,-0.00,261.10,1946.82,0.00,228.45,1644.93,1939.20,2158.00
-39.50,-21.00,0.00,-0.00,276.02,1936.11,-0.00,223.31,1656.52,1930.56,2158.00
-39.50,-20.50,0.00,-0.00,290.84,1925.70,-0.00,218.17,1668.11,1922.10,2158.00
-39.50,-20.00,0.00,0.00,305.56,1915.60,-0.00,213.03,1679.69,1913.81,2158.00
-39.50,-19.50,0.00,0.00,320.20,1905.81,0.00,207.90,1691.27,1905.70,2158.00
-39.50,-19.00,0.00,-0.00,334.74,1896.31,-0.00,202.76,1702.85,1897.75,2158.00
-39.50,-18.50,0.00,0.00,349.20,1887.10,-0.00,197.63,1714.42,1889.98,2158.00
-39.50,-18.00,0.00,0.00,363.57,1878.19,-0.00,192.49,1726.00,1882.39,2158.00
