# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 1.00 degrees
# Total Points: 81 x 81 = 6561
# Timestamp: 20260204_100304
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-38.00,-11.00,0.00,0.00,546.46,1885.02,0.00,121.47,1894.88,1887.02,2158.00
-38.00,-10.00,0.00,0.00,572.75,1875.15,-0.00,110.85,1918.06,1877.88,2158.00
-38.00,-9.00,0.00,0.00,598.88,1866.27,-0.00,100.16,1941.38,1869.48,2158.00
-38.00,-8.00,0.00,0.00,624.87,1858.37,-0.00,89.41,1964.84,1861.83,2158.00
-38.00,-7.00,0.00,-0.00,650.73,1851.42,-0.00,78.58,1988.47,1854.93,2158.00
-38.00,-6.00,0.00,-0.00,676.48,1845.44,0.00,67.67,2012.29,1848.80,2158.00
-38.00,-5.00,0.00,-0.00,702.14,1840.39,-0.00,56.66,2036.30,1843.46,2158.00
-38.00,-4.00,0.00,-0.00,727.72,1836.28,0.00,45.56,2060.52,1838.91,2158.00
-38.00,-3.00,0.00,-0.00,753.24,1833.10,0.00,34.35,2084.98,1835.18,2158.00
-38.00,-2.00,0.00,-0.00,778.71,1830.84,0.00,23.03,2109.69,1832.29,2158.00
-38.00,-1.00,0.00,-0.00,804.16,1829.51,-0.00,11.58,2134.68,1830.25,2158.00
-38.00,0.00,0.00,0.00,828.84,1826.42,0.00,0.00,2158.00,1826.42,2154.84
-38.00,1.00,0.00,11.51,844.31,1811.24,0.00,0.00,2158.00,1810.32,2114.08
-38.00,2.00,0.00,22.76,859.43,1797.49,0.00,-0.00,2158.00,1795.40,2074.02
-38.00,3.00,0.00,33.76,874.23,1785.09,-0.00,0.00,2158.00,1781.62,2034.63
-38.00,4.00,0.00,44.54,888.72,1773.97,-0.00,0.00,2158.00,1768.95,1995.86
-38.00,5.00,0.00,55.11,902.92,1764.05,-0.00,0.00,2158.00,1757.35,1957.68
-38.00,6.00,0.00,65.47,916.86,1755.26,0.00,-0.00,2158.00,1746.79,1920.06
-38.00,7.00,0.00,75.64,930.53,1747.56,0.00,0.00,2158.00,1737.24,1882.95
-38.00,8.00,0.00,85.63,943.97,1740.89,-0.00,0.00,2158.00,1728.69,1846.33
-38.00,9.00,0.00,95.46,957.18,1735.20,-0.00,0.00,2158.00,1721.09,1810.16
-38.00,10.00,0.00,105.12,970.17,1730.44,-0.00,0.00,2158.00,1714.44,1774.42
-38.00,11.00,0.00,114.64,982.97,1726.58,0.00,0.00,2158.00,1708.71,1739.07
-38.00,12.00,0.00,124.02,995.58,1723.58,-0.00,0.00,2158.00,1703.88,1704.09
-38.00,13.00,0.00,133.27,1008.01,1721.41,-0.00,0.00,2158.00,1699.93,1669.44
